year,make,fuel,type,number
2015,FORD,Diesel,Goods cum Passenger Vehicles,18
2015,HYUNDAI,Diesel,Goods cum Passenger Vehicles,5
2015,ISUZU,Diesel,Goods cum Passenger Vehicles,6
2015,MITSUBISHI,Diesel,Goods cum Passenger Vehicles,177
2015,NISSAN,Diesel,Goods cum Passenger Vehicles,29
2015,SSANGYONG,Diesel,Goods cum Passenger Vehicles,37
2015,TOYOTA,Diesel,Goods cum Passenger Vehicles,7
2015,VOLKSWAGEN,Diesel,Goods cum Passenger Vehicles,1
2015,BOBCAT,Diesel,Light Goods Vehicles,2
2015,CITROEN,Diesel,Light Goods Vehicles,127
2015,FIAT,Diesel,Light Goods Vehicles,327
2015,HYUNDAI,Diesel,Light Goods Vehicles,111
2015,ISUZU,Diesel,Light Goods Vehicles,181
2015,KIA,Diesel,Light Goods Vehicles,107
2015,LAND ROVER,Diesel,Light Goods Vehicles,51
2015,LEKTRO,Others,Light Goods Vehicles,2
2015,MAXUS,Diesel,Light Goods Vehicles,2
2015,MERCEDES BENZ,Petrol,Light Goods Vehicles,1
2015,MERCEDES BENZ,Diesel,Light Goods Vehicles,152
2015,MITSUBISHI,Diesel,Light Goods Vehicles,289
2015,NISSAN,Petrol,Light Goods Vehicles,259
2015,NISSAN,Diesel,Light Goods Vehicles,3323
2015,OPEL,Diesel,Light Goods Vehicles,29
2015,PEUGEOT,Diesel,Light Goods Vehicles,75
2015,RENAULT,Petrol,Light Goods Vehicles,19
2015,RENAULT,Diesel,Light Goods Vehicles,73
2015,SUZUKI,Petrol,Light Goods Vehicles,2
2015,TENNANT,Diesel,Light Goods Vehicles,57
2015,TOYOTA,Petrol,Light Goods Vehicles,21
2015,TOYOTA,Diesel,Light Goods Vehicles,3726
2015,TUG,Diesel,Light Goods Vehicles,2
2015,VOLKSWAGEN,Diesel,Light Goods Vehicles,107
2015,VOLVO,Diesel,Light Goods Vehicles,4
2015,ACHLEITNER,Diesel,Heavy Goods Vehicles,7
2015,BOBCAT,Diesel,Heavy Goods Vehicles,5
2015,CATERPILLAR,Diesel,Heavy Goods Vehicles,9
2015,CHERY,Diesel,Heavy Goods Vehicles,1
2015,CROWN,Others,Heavy Goods Vehicles,1
2015,DOOSAN,Diesel,Heavy Goods Vehicles,3
2015,DULEVO,Diesel,Heavy Goods Vehicles,8
2015,FIAT,Diesel,Heavy Goods Vehicles,2
2015,FOTON,Diesel,Heavy Goods Vehicles,4
2015,G.CPOWER,Diesel,Heavy Goods Vehicles,5
2015,HAMM,Diesel,Heavy Goods Vehicles,1
2015,HC,Diesel,Heavy Goods Vehicles,1
2015,HCF,Diesel,Heavy Goods Vehicles,9
2015,HELI,Diesel,Heavy Goods Vehicles,2
2015,HINO,Diesel,Heavy Goods Vehicles,402
2015,HYSTER,Diesel,Heavy Goods Vehicles,5
2015,ISUZU,Diesel,Heavy Goods Vehicles,1235
2015,IVECO,Diesel,Heavy Goods Vehicles,1
2015,JAC,Diesel,Heavy Goods Vehicles,20
2015,JJCC,Diesel,Heavy Goods Vehicles,8
2015,KOMATSU,Diesel,Heavy Goods Vehicles,15
2015,KUBOTA,Diesel,Heavy Goods Vehicles,1
2015,LINDE,Others,Heavy Goods Vehicles,1
2015,MAN,Diesel,Heavy Goods Vehicles,5
2015,MERCEDES BENZ,Diesel,Heavy Goods Vehicles,45
2015,MITSUBISHI,Diesel,Heavy Goods Vehicles,1646
2015,MITSUBISHI,Others,Heavy Goods Vehicles,4
2015,NISSAN,Diesel,Heavy Goods Vehicles,49
2015,NISSAN,Others,Heavy Goods Vehicles,1
2015,SAKAI,Diesel,Heavy Goods Vehicles,17
2015,T.C.M.,Diesel,Heavy Goods Vehicles,27
2015,T.C.M.,Others,Heavy Goods Vehicles,2
2015,TAILIFT,Diesel,Heavy Goods Vehicles,5
2015,TOYOTA,Diesel,Heavy Goods Vehicles,755
2015,TOYOTA,Others,Heavy Goods Vehicles,36
2015,UD TRUCKS,Diesel,Heavy Goods Vehicles,55
2015,UNICARRIERS,Diesel,Heavy Goods Vehicles,17
2015,WIRTGEN,Diesel,Heavy Goods Vehicles,4
2015,YALE,Diesel,Heavy Goods Vehicles,32
2015,YALE,Others,Heavy Goods Vehicles,1
2015,BEIBEN,Diesel,Very Heavy Goods Vehicles,2
2015,CATERPILLAR,Diesel,Very Heavy Goods Vehicles,2
2015,D.A.F.,Diesel,Very Heavy Goods Vehicles,5
2015,DOOSAN,Diesel,Very Heavy Goods Vehicles,2
2015,GROVE,Diesel,Very Heavy Goods Vehicles,11
2015,HC,Diesel,Very Heavy Goods Vehicles,2
2015,HINO,Diesel,Very Heavy Goods Vehicles,71
2015,ISUZU,Diesel,Very Heavy Goods Vehicles,296
2015,IVECO,Diesel,Very Heavy Goods Vehicles,45
2015,KALMAR,Diesel,Very Heavy Goods Vehicles,1
2015,KOMATSU,Diesel,Very Heavy Goods Vehicles,1
2015,LIEBHERR,Diesel,Very Heavy Goods Vehicles,14
2015,MAN,Diesel,Very Heavy Goods Vehicles,70
2015,MERCEDES BENZ,Diesel,Very Heavy Goods Vehicles,39
2015,MITSUBISHI,Diesel,Very Heavy Goods Vehicles,309
2015,SCANIA,Diesel,Very Heavy Goods Vehicles,193
2015,SCHEUERLE,Diesel,Very Heavy Goods Vehicles,1
2015,SHACMAN,Diesel,Very Heavy Goods Vehicles,6
2015,T.C.M.,Diesel,Very Heavy Goods Vehicles,6
2015,TADANO FAUN,Diesel,Very Heavy Goods Vehicles,1
2015,TEREX,Diesel,Very Heavy Goods Vehicles,8
2015,TOYOTA,Diesel,Very Heavy Goods Vehicles,32
2015,TREPEL,Diesel,Very Heavy Goods Vehicles,1
2015,UD TRUCKS,Diesel,Very Heavy Goods Vehicles,117
2015,UNICARRIERS,Diesel,Very Heavy Goods Vehicles,22
2015,VOGELE,Diesel,Very Heavy Goods Vehicles,3
2015,VOLVO,Diesel,Very Heavy Goods Vehicles,111
2015,WIRTGEN,Diesel,Very Heavy Goods Vehicles,4
2015,YALE,Diesel,Very Heavy Goods Vehicles,2
2015,ZOOMLION,Diesel,Very Heavy Goods Vehicles,4
2015,ALEXANDER DENNIS,Diesel,Buses,110
2015,ANKAI,Diesel,Buses,5
2015,CHERY,Petrol,Buses,1
2015,FOTON,Diesel,Buses,5
2015,GOLDEN DRAGON,Diesel,Buses,43
2015,HIGER,Diesel,Buses,4
2015,HYUNDAI,Diesel,Buses,9
2015,ISUZU,Diesel,Buses,62
2015,JOYLONG,Diesel,Buses,17
2015,KING LONG,Diesel,Buses,23
2015,MAN,Diesel,Buses,172
2015,MERCEDES BENZ,Diesel,Buses,200
2015,MITSUBISHI,Diesel,Buses,99
2015,NISSAN,Diesel,Buses,109
2015,SCANIA,Diesel,Buses,7
2015,TOYOTA,Petrol,Buses,1
2015,TOYOTA,Diesel,Buses,616
2015,VOLVO,Diesel,Buses,247
2015,VOLVO,Others,Buses,1
2015,YUTONG,Diesel,Buses,60
2015,ZHONG TONG,Diesel,Buses,7
2016,FORD,Diesel,Goods cum Passenger Vehicles,15
2016,HYUNDAI,Diesel,Goods cum Passenger Vehicles,46
2016,ISUZU,Diesel,Goods cum Passenger Vehicles,8
2016,MITSUBISHI,Diesel,Goods cum Passenger Vehicles,61
2016,NISSAN,Diesel,Goods cum Passenger Vehicles,61
2016,SSANGYONG,Diesel,Goods cum Passenger Vehicles,16
2016,TOYOTA,Diesel,Goods cum Passenger Vehicles,12
2016,AMMANN,Diesel,Light Goods Vehicles,1
2016,BOMAG,Diesel,Light Goods Vehicles,1
2016,CITROEN,Diesel,Light Goods Vehicles,77
2016,FIAT,Diesel,Light Goods Vehicles,515
2016,GIANNI FERRARI,Diesel,Light Goods Vehicles,1
2016,HAMM,Diesel,Light Goods Vehicles,1
2016,HYUNDAI,Diesel,Light Goods Vehicles,54
2016,ISUZU,Diesel,Light Goods Vehicles,320
2016,KARCHER,Diesel,Light Goods Vehicles,1
2016,KIA,Diesel,Light Goods Vehicles,97
2016,LAND ROVER,Diesel,Light Goods Vehicles,46
2016,MAXUS,Diesel,Light Goods Vehicles,3
2016,MERCEDES BENZ,Diesel,Light Goods Vehicles,190
2016,MITSUBISHI,Diesel,Light Goods Vehicles,401
2016,NEW HOLLAND,Diesel,Light Goods Vehicles,2
2016,NILFISK,Diesel,Light Goods Vehicles,2
2016,NISSAN,Petrol,Light Goods Vehicles,349
2016,NISSAN,Diesel,Light Goods Vehicles,3308
2016,OPEL,Diesel,Light Goods Vehicles,44
2016,PEUGEOT,Diesel,Light Goods Vehicles,142
2016,RENAULT,Petrol,Light Goods Vehicles,14
2016,RENAULT,Diesel,Light Goods Vehicles,67
2016,RENAULT,Others,Light Goods Vehicles,17
2016,SUZUKI,Petrol,Light Goods Vehicles,37
2016,TENNANT,Diesel,Light Goods Vehicles,15
2016,TOYOTA,Petrol,Light Goods Vehicles,50
2016,TOYOTA,Diesel,Light Goods Vehicles,4523
2016,VOLKSWAGEN,Diesel,Light Goods Vehicles,15
2016,VOLVO,Diesel,Light Goods Vehicles,2
2016,AMMANN,Diesel,Heavy Goods Vehicles,2
2016,BOBCAT,Diesel,Heavy Goods Vehicles,8
2016,CATERPILLAR,Diesel,Heavy Goods Vehicles,4
2016,CIMC AIR MARREL SAS,Diesel,Heavy Goods Vehicles,1
2016,COMAC,Diesel,Heavy Goods Vehicles,1
2016,D.A.F.,Diesel,Heavy Goods Vehicles,2
2016,DOOSAN,Diesel,Heavy Goods Vehicles,1
2016,FIAT,Diesel,Heavy Goods Vehicles,3
2016,FOTON,Diesel,Heavy Goods Vehicles,17
2016,HAMM,Diesel,Heavy Goods Vehicles,4
2016,HINO,Diesel,Heavy Goods Vehicles,625
2016,HYSTER,Diesel,Heavy Goods Vehicles,2
2016,ISUZU,Diesel,Heavy Goods Vehicles,1591
2016,J.C.B.,Diesel,Heavy Goods Vehicles,1
2016,JAC,Diesel,Heavy Goods Vehicles,37
2016,JJCC,Diesel,Heavy Goods Vehicles,2
2016,KOMATSU,Diesel,Heavy Goods Vehicles,4
2016,LEKTRO,Others,Heavy Goods Vehicles,2
2016,LINDE,Diesel,Heavy Goods Vehicles,2
2016,LINDE,Others,Heavy Goods Vehicles,1
2016,MAN,Diesel,Heavy Goods Vehicles,24
2016,MANITOU,Diesel,Heavy Goods Vehicles,5
2016,MAXIMAL,Diesel,Heavy Goods Vehicles,7
2016,MERCEDES BENZ,Diesel,Heavy Goods Vehicles,46
2016,MITSUBISHI,Diesel,Heavy Goods Vehicles,2233
2016,MITSUBISHI,Others,Heavy Goods Vehicles,1
2016,NEW HOLLAND,Diesel,Heavy Goods Vehicles,4
2016,NISSAN,Diesel,Heavy Goods Vehicles,6
2016,SAKAI,Diesel,Heavy Goods Vehicles,21
2016,SCHOPF,Diesel,Heavy Goods Vehicles,1
2016,T.C.M.,Diesel,Heavy Goods Vehicles,14
2016,T.C.M.,Others,Heavy Goods Vehicles,3
2016,TAILIFT,Diesel,Heavy Goods Vehicles,3
2016,TENNANT,Diesel,Heavy Goods Vehicles,1
2016,TLD,Diesel,Heavy Goods Vehicles,10
2016,TOYOTA,Diesel,Heavy Goods Vehicles,660
2016,TOYOTA,Others,Heavy Goods Vehicles,34
2016,UD TRUCKS,Diesel,Heavy Goods Vehicles,74
2016,UNICARRIERS,Diesel,Heavy Goods Vehicles,17
2016,UNICARRIERS,Others,Heavy Goods Vehicles,1
2016,WIRTGEN,Diesel,Heavy Goods Vehicles,3
2016,YALE,Diesel,Heavy Goods Vehicles,4
2016,AMMANN,Diesel,Very Heavy Goods Vehicles,1
2016,BEIBEN,Diesel,Very Heavy Goods Vehicles,5
2016,CAMC,Diesel,Very Heavy Goods Vehicles,4
2016,CIMC AIR MARREL SAS,Diesel,Very Heavy Goods Vehicles,11
2016,CVS FERRARI,Diesel,Very Heavy Goods Vehicles,1
2016,D.A.F.,Diesel,Very Heavy Goods Vehicles,24
2016,GROVE,Diesel,Very Heavy Goods Vehicles,5
2016,GUANGTAI,Diesel,Very Heavy Goods Vehicles,2
2016,HINO,Diesel,Very Heavy Goods Vehicles,71
2016,ISUZU,Diesel,Very Heavy Goods Vehicles,220
2016,IVECO,Diesel,Very Heavy Goods Vehicles,70
2016,KALMAR,Diesel,Very Heavy Goods Vehicles,4
2016,KOMATSU,Diesel,Very Heavy Goods Vehicles,1
2016,LIEBHERR,Diesel,Very Heavy Goods Vehicles,1
2016,MAN,Diesel,Very Heavy Goods Vehicles,50
